Epoch,Train_Loss,Test_Loss,LLC,Order_Parameter,Task,Seed,P
1,4.459575176239014,4.480281352996826,,0.04462715610861778,division,42,53
2,4.408939838409424,4.433640956878662,,0.04462601989507675,division,42,53
5,4.127394199371338,4.192742347717285,,0.0446181446313858,division,42,53
10,3.9999101161956787,4.165081977844238,,0.044597238302230835,division,42,53
20,3.783235549926758,4.141445159912109,,0.0445510633289814,division,42,53
50,2.8078835010528564,5.162863731384277,,0.04454469680786133,division,42,53
100,0.2964406907558441,13.954574584960938,,0.04428078979253769,division,42,53
200,0.022157860919833183,20.63079071044922,323.8345031738281,0.04420583322644234,division,42,53
500,0.002332615200430155,22.816892623901367,134.79751586914062,0.04436694458127022,division,42,53
1000,0.0008414536132477224,20.35479736328125,105.7520980834961,0.044479262083768845,division,42,53
1100,0.0002945651940535754,22.369796752929688,87.61722564697266,0.04450462758541107,division,42,53
1200,0.00010248722537653521,24.4128360748291,70.35472106933594,0.04453694447875023,division,42,53
1300,3.589535117498599e-05,26.43614387512207,57.86109161376953,0.04458911716938019,division,42,53
1400,1.2769438399118371e-05,28.4229679107666,50.60797119140625,0.044662680476903915,division,42,53
1500,4.6605505303887185e-06,30.353635787963867,44.03002166748047,0.044729892164468765,division,42,53
1600,1.763747036420682e-06,32.22256851196289,36.53579330444336,0.04481219872832298,division,42,53
1700,7.259351946231618e-07,33.91827392578125,32.824928283691406,0.04494117200374603,division,42,53
1800,3.661427570023079e-07,34.9854621887207,31.410110473632812,0.04509149491786957,division,42,53
1900,2.3582076380535e-07,35.29261016845703,31.03680419921875,0.04534391686320305,division,42,53
2000,1.8025711767677421e-07,35.40473556518555,27.125829696655273,0.04558394104242325,division,42,53
2100,1.5355769278357911e-07,36.73481369018555,29.46087074279785,0.04586527869105339,division,42,53
2200,0.0004891084390692413,27.9536075592041,62.85052490234375,0.04658253490924835,division,42,53
2300,0.004176623187959194,16.86293601989746,112.250732421875,0.046507734805345535,division,42,53
2400,0.005297295283526182,15.561850547790527,122.8740005493164,0.04686775803565979,division,42,53
2500,0.0020671214442700148,17.504331588745117,99.68832397460938,0.04722824692726135,division,42,53
2600,0.0007215626537799835,19.680152893066406,78.44632720947266,0.04738857224583626,division,42,53
2700,0.0002485819277353585,21.8936710357666,66.2607650756836,0.04745212942361832,division,42,53
2800,8.692593110026792e-05,24.120800018310547,56.7879524230957,0.0474916435778141,division,42,53
2900,3.0461134883807972e-05,26.377857208251953,51.0165901184082,0.04760785400867462,division,42,53
3000,1.079818048310699e-05,28.606626510620117,45.97249221801758,0.04764851555228233,division,42,53
3100,3.937504516215995e-06,30.750717163085938,39.96709442138672,0.04757213592529297,division,42,53
3200,1.495598894507566e-06,32.79352569580078,35.40803146362305,0.047490015625953674,division,42,53
3300,6.290958367571875e-07,34.55134963989258,35.321693420410156,0.04729088023304939,division,42,53
3400,3.241452759539243e-07,35.663692474365234,30.799341201782227,0.04714280739426613,division,42,53
3500,2.0233825637205882e-07,36.3436393737793,32.397850036621094,0.04704226553440094,division,42,53
3600,1.9382329696782108e-07,39.07940673828125,37.88390350341797,0.047148868441581726,division,42,53
3700,0.0013151513412594795,22.312070846557617,87.95079803466797,0.04785345867276192,division,42,53
3800,0.005981903523206711,15.572415351867676,131.90013122558594,0.04711227864027023,division,42,53
3900,0.003544335253536701,16.383586883544922,117.2451171875,0.047343675047159195,division,42,53
4000,0.0012798921670764685,18.51351547241211,94.44312286376953,0.047620221972465515,division,42,53
4100,0.00044767968938685954,20.743244171142578,81.60102844238281,0.04785512760281563,division,42,53
4200,0.00015557141159661114,22.98006820678711,71.69840240478516,0.04803714528679848,division,42,53
4300,5.4154719691723585e-05,25.217742919921875,62.17934036254883,0.048134010285139084,division,42,53
4400,1.901277391880285e-05,27.430810928344727,52.65786361694336,0.04815538227558136,division,42,53
4500,6.796630259486847e-06,29.621793746948242,49.27659225463867,0.0481417216360569,division,42,53
4600,2.525471927583567e-06,31.741071701049805,45.030452728271484,0.04809460788965225,division,42,53
4700,9.885993677016813e-07,33.689735412597656,41.52730178833008,0.04801696911454201,division,42,53
4800,4.4580804114957573e-07,35.233402252197266,37.97453689575195,0.04802325367927551,division,42,53
4900,2.469334958732361e-07,36.16765594482422,36.71952438354492,0.048319295048713684,division,42,53
5000,1.5976350198343425e-07,37.52400588989258,38.79077911376953,0.04882661625742912,division,42,53
5100,0.0005773133598268032,25.277189254760742,78.43806457519531,0.04840309917926788,division,42,53
5200,0.0037400447763502598,16.710153579711914,123.38040924072266,0.04833704233169556,division,42,53
5300,0.0024655205197632313,17.251508712768555,117.5174560546875,0.04834079369902611,division,42,53
5400,0.0009036108967848122,19.459548950195312,104.23949432373047,0.04848507046699524,division,42,53
