Epoch,Train_Loss,Test_Loss,LLC,Order_Parameter,Task,Seed,Run_ID
1,4.002529588825137,4.009394353819063,0.16920672357082367,0.1686541719256707,addition,42,run1_f020_wd1e1_i05
2,3.997103173465015,4.009785061629217,-0.15167005360126495,0.16843590646419884,addition,42,run1_f020_wd1e1_i05
5,3.9820592050671366,4.011134996108737,-0.010026544332504272,0.16831234266173165,addition,42,run1_f020_wd1e1_i05
10,3.9556209505560562,4.015268089932479,1.394370436668396,0.16892213641472584,addition,42,run1_f020_wd1e1_i05
20,3.9043022961540017,4.080176699628185,-1.1274030208587646,0.1734960304116303,addition,42,run1_f020_wd1e1_i05
50,3.8057698493760324,4.067207870958539,1.2118028402328491,0.20468280000506706,addition,42,run1_f020_wd1e1_i05
100,3.0231104657824237,5.178258066075553,8.46479320526123,0.24856259687891546,addition,42,run1_f020_wd1e1_i05
200,1.1460218962926065,9.340190276556593,26.654895782470703,0.2608991119096864,addition,42,run1_f020_wd1e1_i05
500,0.1770477840368123,14.655812986380688,35.16535568237305,0.26712385213600015,addition,42,run1_f020_wd1e1_i05
1000,0.09027595404342958,15.394074232977056,21.948375701904297,0.27182940717013376,addition,42,run1_f020_wd1e1_i05
1100,0.09054838128905883,15.441136346593021,31.63958168029785,0.26991993526242813,addition,42,run1_f020_wd1e1_i05
1200,0.07898979701779106,15.276796581906355,31.443899154663086,0.2714924362470519,addition,42,run1_f020_wd1e1_i05
1300,0.07692237564905442,15.260893835291744,26.957921981811523,0.2704799400185639,addition,42,run1_f020_wd1e1_i05
1400,0.07721304312454613,15.275896374441126,28.145620346069336,0.27160817272258253,addition,42,run1_f020_wd1e1_i05
1500,0.06949498107965617,15.263664459418571,24.75084114074707,0.26955088129583393,addition,42,run1_f020_wd1e1_i05
1600,0.07612130097022243,15.360435628381913,30.31099510192871,0.268698476395517,addition,42,run1_f020_wd1e1_i05
1700,0.06558738790996997,15.369753046816355,27.37529945373535,0.26655826928480614,addition,42,run1_f020_wd1e1_i05
1800,0.06312108819444337,15.442092959991129,14.210822105407715,0.2650130289905476,addition,42,run1_f020_wd1e1_i05
1900,0.06054111481137879,15.339603498737159,31.16263198852539,0.25912972216336233,addition,42,run1_f020_wd1e1_i05
2000,0.06392326276357586,15.386283446885512,29.9869384765625,0.2619976727467663,addition,42,run1_f020_wd1e1_i05
2100,0.0669238540325679,15.348409116480275,25.947940826416016,0.26284068485475937,addition,42,run1_f020_wd1e1_i05
2200,0.0664335084604282,15.372125282830615,30.2608585357666,0.25778032698721254,addition,42,run1_f020_wd1e1_i05
2300,0.05900875555348056,15.119546370998396,23.192670822143555,0.2537287586140183,addition,42,run1_f020_wd1e1_i05
2400,0.05930629955627914,15.159499066580233,31.31805992126465,0.2551499132840139,addition,42,run1_f020_wd1e1_i05
2500,0.05925937358177069,15.118631793935103,25.308622360229492,0.2545275418263561,addition,42,run1_f020_wd1e1_i05
2600,0.0573970624868245,15.214400681736631,24.527387619018555,0.2525638544334556,addition,42,run1_f020_wd1e1_i05
2700,0.058819351428970296,15.27921563280859,28.881561279296875,0.25778153257549935,addition,42,run1_f020_wd1e1_i05
2800,0.05158516368538194,15.297069362898315,26.309906005859375,0.2562162291328862,addition,42,run1_f020_wd1e1_i05
2900,0.06494408635399346,15.367976368534183,25.70134925842285,0.2556734444960108,addition,42,run1_f020_wd1e1_i05
3000,0.05099400888577289,15.344175851217793,25.765966415405273,0.2548391414138506,addition,42,run1_f020_wd1e1_i05
3100,0.04675999218714216,15.215179558750574,30.706411361694336,0.2512029791777989,addition,42,run1_f020_wd1e1_i05
3200,0.04744584838496173,15.256938533850835,25.64824867248535,0.25561744761916827,addition,42,run1_f020_wd1e1_i05
3300,0.04771897616445912,15.211112976074219,24.322811126708984,0.259038655263073,addition,42,run1_f020_wd1e1_i05
3400,0.03987598334191742,15.211356485441486,24.556652069091797,0.25376001394019937,addition,42,run1_f020_wd1e1_i05
3500,0.044782483681319235,15.096958323305612,24.972158432006836,0.2500700860653283,addition,42,run1_f020_wd1e1_i05
3600,0.04498423714648912,15.143432576461194,24.288192749023438,0.2497297502913565,addition,42,run1_f020_wd1e1_i05
3700,0.04794687224608479,15.033925514628454,20.146421432495117,0.24922649815397444,addition,42,run1_f020_wd1e1_i05
3800,0.039817104298694464,15.020495662485578,23.59763526916504,0.24818540968984928,addition,42,run1_f020_wd1e1_i05
3900,0.04088565413034961,15.185130560525371,21.9682674407959,0.24345939564255048,addition,42,run1_f020_wd1e1_i05
4000,0.04718218639546112,15.136639764724677,23.884653091430664,0.2492235651556051,addition,42,run1_f020_wd1e1_i05
4100,0.0426794042920365,15.30607890064606,27.616674423217773,0.24221344713894827,addition,42,run1_f020_wd1e1_i05
4200,0.03202239074038737,15.285430945535571,26.747167587280273,0.24359922588996166,addition,42,run1_f020_wd1e1_i05
4300,0.03930157891834908,15.28040879816347,22.909730911254883,0.23720188860623342,addition,42,run1_f020_wd1e1_i05
4400,0.0359339775042791,15.232029419352575,27.9561767578125,0.2400439460322542,addition,42,run1_f020_wd1e1_i05
4500,0.03504132284200128,15.291296242819138,27.270954132080078,0.2392251896408369,addition,42,run1_f020_wd1e1_i05
4600,0.03355779665822758,15.126743825729207,23.26835060119629,0.24238111388008549,addition,42,run1_f020_wd1e1_i05
4700,0.03773119346422945,15.164600704912614,26.335956573486328,0.2456756627784585,addition,42,run1_f020_wd1e1_i05
4800,0.03476748975747516,15.253408822300596,30.0382022857666,0.24643214243762898,addition,42,run1_f020_wd1e1_i05
4900,0.04734554931972966,15.266274082278866,28.739309310913086,0.24732845234421064,addition,42,run1_f020_wd1e1_i05
5000,0.035870218201276456,15.260289782731133,22.721298217773438,0.24636318998516732,addition,42,run1_f020_wd1e1_i05
5100,0.03381238592898145,15.228342972616284,25.920745849609375,0.24675304484817218,addition,42,run1_f020_wd1e1_i05
5200,0.03453258612921956,15.086745716923073,23.397382736206055,0.24633031521203383,addition,42,run1_f020_wd1e1_i05
5300,0.03760216670665299,15.08215090388505,22.9899845123291,0.2430299363046322,addition,42,run1_f020_wd1e1_i05
5400,0.026432169475152742,15.233499045049593,19.743167877197266,0.23911987160736659,addition,42,run1_f020_wd1e1_i05
5500,0.03003859482439975,15.257620618012451,21.657291412353516,0.24158531764768204,addition,42,run1_f020_wd1e1_i05
5600,0.03221739083196496,15.17312698432135,24.06519889831543,0.24405175335002396,addition,42,run1_f020_wd1e1_i05
5700,0.030512168810913693,15.309075433588538,27.123899459838867,0.239784744550597,addition,42,run1_f020_wd1e1_i05
5800,0.029387615242584503,15.125993267072902,24.5642147064209,0.24166772950370358,addition,42,run1_f020_wd1e1_i05
5900,0.029910030955724327,15.03488690318586,31.230253219604492,0.24431901607873305,addition,42,run1_f020_wd1e1_i05
6000,0.030867797699416596,15.014386285666468,27.9892520904541,0.24145302682552697,addition,42,run1_f020_wd1e1_i05
6100,0.02769126730461384,15.121746246500797,24.337697982788086,0.2464642974565614,addition,42,run1_f020_wd1e1_i05
6200,0.029759490859168524,15.065609779222155,16.089197158813477,0.24342601704147626,addition,42,run1_f020_wd1e1_i05
6300,0.028462483436400454,15.16893337629868,28.383987426757812,0.24526858779619326,addition,42,run1_f020_wd1e1_i05
6400,0.02967902086675167,15.241046084203754,27.18537712097168,0.24099783627492077,addition,42,run1_f020_wd1e1_i05
6500,0.02659250938942832,15.199906943107415,17.87713623046875,0.2426850120976286,addition,42,run1_f020_wd1e1_i05
6600,0.026145542335967116,15.131801394805365,27.76527214050293,0.24039936065673828,addition,42,run1_f020_wd1e1_i05
6700,0.027599243795807988,15.016658782958984,10.99290657043457,0.24228830157585865,addition,42,run1_f020_wd1e1_i05
6800,0.028106063385220134,15.085152547978845,30.713842391967773,0.23996702230201578,addition,42,run1_f020_wd1e1_i05
6900,0.03120744804421742,14.977600056929944,20.743167877197266,0.24030375930498232,addition,42,run1_f020_wd1e1_i05
7000,0.02645295438706981,14.942453157010876,18.69599723815918,0.2406022953537275,addition,42,run1_f020_wd1e1_i05
7100,0.025821913870420047,14.973895636317568,22.607694625854492,0.24135388068433078,addition,42,run1_f020_wd1e1_i05
7200,0.026270645356831705,15.11205002591279,28.174325942993164,0.2388785020360407,addition,42,run1_f020_wd1e1_i05
7300,0.021555530159682725,15.128009582329476,24.34258460998535,0.2395579679956976,addition,42,run1_f020_wd1e1_i05
7400,0.02475263754075224,15.098492537529019,28.18526268005371,0.23868436633415943,addition,42,run1_f020_wd1e1_i05
7500,0.024797468952529145,15.112996732637127,24.286855697631836,0.2444031373509821,addition,42,run1_f020_wd1e1_i05
7600,0.019479628765221798,15.003784379925168,23.176549911499023,0.2477957527592497,addition,42,run1_f020_wd1e1_i05
